method,volume_id,page_id,start,end,entity,entity_type
roberta,mdp.39015041788319,15,218,235,Massachusetts Bay,LOC
roberta,mdp.39015041788319,15,260,266,Pequot,MISC
roberta,mdp.39015041788319,15,286,292,Thames,LOC
roberta,mdp.39015041788319,15,329,336,Pequots,MISC
roberta,mdp.39015041788319,15,383,396,Fort Saybrook,LOC
roberta,mdp.39015041788319,15,417,428,Connecticut,LOC
roberta,mdp.39015041788319,15,490,502,Wethersfield,LOC
roberta,mdp.39015041788319,15,504,512,Hartford,LOC
roberta,mdp.39015041788319,15,517,524,Windsor,LOC
roberta,mdp.39015041788319,15,652,658,Pequot,MISC
roberta,mdp.39015041788319,15,681,687,Mystic,LOC
roberta,mdp.39015041788319,15,714,728,John Underhill,PER
roberta,mdp.39015041788319,15,740,746,Indian,MISC
roberta,mdp.39015041788319,15,780,787,English,MISC
roberta,mdp.39015041788319,15,839,848,Underhill,PER
roberta,mdp.39015041788319,15,876,884,Mohegans,MISC
roberta,mdp.39015041788319,15,886,899,Narragansetts,MISC
roberta,mdp.39015041788319,15,904,911,Pequots,MISC
roberta,mdp.39015041788319,15,1113,1120,English,MISC
roberta,mdp.39015041788319,15,1143,1150,Pequots,MISC
roberta,mdp.39015041788319,15,1156,1163,Mohegan,MISC
roberta,mdp.39015041788319,15,1165,1177,Narragansett,MISC
roberta,mdp.39015041788319,15,1188,1205,Connecticut River,LOC
roberta,mdp.39015041788319,15,1210,1217,Nipmuck,MISC
roberta,mdp.39015041788319,15,1246,1253,English,MISC
roberta,mdp.39015041788319,15,1265,1281,Western Nehantic,MISC
roberta,mdp.39015041788319,15,1291,1298,Nipmuck,MISC
roberta,mdp.39015041788319,15,1327,1333,Pequot,MISC
roberta,mdp.39015041788319,15,1341,1347,Indian,MISC
roberta,mdp.39015041788319,15,1384,1391,English,MISC
roberta,mdp.39015041788319,15,1467,1477,Pequot War,MISC
roberta,mdp.39015041788319,15,1483,1490,Pequots,MISC
roberta,mdp.39015041788319,15,1678,1683,Uncas,PER
roberta,mdp.39015041788319,15,1705,1715,Pequot War,MISC
roberta,mdp.39015041788319,15,1846,1854,European,MISC
roberta,mdp.39015041788319,15,1951,1958,Pequots,MISC
roberta,mdp.39015041788319,15,2002,2009,Pequots,MISC
roberta,mdp.39015041788319,15,2025,2032,English,MISC
roberta,mdp.39015041788319,15,2054,2060,Pequot,MISC
roberta,mdp.39015041788319,15,2094,2104,Pequot War,MISC
spacy-trf,mdp.39015041788319,15,152,159,English,NORP
spacy-trf,mdp.39015041788319,15,201,214,John Endicott,PERSON
spacy-trf,mdp.39015041788319,15,218,235,Massachusetts Bay,LOC
spacy-trf,mdp.39015041788319,15,260,266,Pequot,NORP
spacy-trf,mdp.39015041788319,15,282,298,the Thames river,LOC
spacy-trf,mdp.39015041788319,15,329,336,Pequots,NORP
spacy-trf,mdp.39015041788319,15,383,396,Fort Saybrook,FAC
spacy-trf,mdp.39015041788319,15,417,428,Connecticut,GPE
spacy-trf,mdp.39015041788319,15,490,502,Wethersfield,GPE
spacy-trf,mdp.39015041788319,15,504,512,Hartford,GPE
spacy-trf,mdp.39015041788319,15,517,524,Windsor,GPE
spacy-trf,mdp.39015041788319,15,549,561,Wethersfield,GPE
spacy-trf,mdp.39015041788319,15,623,634,Connecticut,GPE
spacy-trf,mdp.39015041788319,15,652,658,Pequot,NORP
spacy-trf,mdp.39015041788319,15,681,687,Mystic,GPE
spacy-trf,mdp.39015041788319,15,714,728,John Underhill,PERSON
spacy-trf,mdp.39015041788319,15,740,746,Indian,NORP
spacy-trf,mdp.39015041788319,15,780,787,English,NORP
spacy-trf,mdp.39015041788319,15,839,848,Underhill,PERSON
spacy-trf,mdp.39015041788319,15,876,884,Mohegans,NORP
spacy-trf,mdp.39015041788319,15,886,899,Narragansetts,NORP
spacy-trf,mdp.39015041788319,15,904,911,Pequots,NORP
spacy-trf,mdp.39015041788319,15,1113,1120,English,NORP
spacy-trf,mdp.39015041788319,15,1143,1150,Pequots,NORP
spacy-trf,mdp.39015041788319,15,1156,1163,Mohegan,NORP
spacy-trf,mdp.39015041788319,15,1165,1177,Narragansett,NORP
spacy-trf,mdp.39015041788319,15,1188,1205,Connecticut River,LOC
spacy-trf,mdp.39015041788319,15,1210,1217,Nipmuck,LOC
spacy-trf,mdp.39015041788319,15,1246,1253,English,NORP
spacy-trf,mdp.39015041788319,15,1273,1281,Nehantic,NORP
spacy-trf,mdp.39015041788319,15,1291,1298,Nipmuck,NORP
spacy-trf,mdp.39015041788319,15,1327,1333,Pequot,NORP
spacy-trf,mdp.39015041788319,15,1341,1347,Indian,NORP
spacy-trf,mdp.39015041788319,15,1384,1391,English,NORP
spacy-trf,mdp.39015041788319,15,1483,1490,Pequots,NORP
spacy-trf,mdp.39015041788319,15,1678,1683,Uncas,PERSON
spacy-trf,mdp.39015041788319,15,1846,1854,European,NORP
spacy-trf,mdp.39015041788319,15,1951,1958,Pequots,NORP
spacy-trf,mdp.39015041788319,15,2002,2009,Pequots,NORP
spacy-trf,mdp.39015041788319,15,2025,2032,English,NORP
spacy-trf,mdp.39015041788319,15,2054,2060,Pequot,NORP
spacy-trf,mdp.39015041788319,15,2175,2181,Pequot,NORP
spacy-trf,mdp.39015041788319,15,2186,2198,Narragansett,NORP
spacy-trf,mdp.39015041788319,15,2234,2242,Mohegans,NORP
spacy-trf,mdp.39015041788319,15,2257,2264,Pequots,NORP
spacy-trf,mdp.39015041788319,15,2290,2303,Narragansetts,NORP
spacy-trf,mdp.39015041788319,15,2347,2362,European-Native,NORP
stanford,mdp.39015041788319,16,23,43,Gladys Tantaquidgeon,PERSON
stanford,mdp.39015041788319,16,176,188,Narragansett,ORGANIZATION
stanford,mdp.39015041788319,16,287,292,Uncas,PERSON
stanford,mdp.39015041788319,16,330,340,Miantonomo,PERSON
stanford,mdp.39015041788319,16,423,428,Uncas,PERSON
booknlp,mdp.39015041788319,16,0,7,Mohegan,PER
booknlp,mdp.39015041788319,16,23,43,Gladys Tantaquidgeon,PER
booknlp,mdp.39015041788319,16,97,105,Mohegans,PER
booknlp,mdp.39015041788319,16,110,123,Narragansetts,PER
booknlp,mdp.39015041788319,16,160,171,the Mohegan,PER
booknlp,mdp.39015041788319,16,176,188,Narragansett,PER
booknlp,mdp.39015041788319,16,230,242,the Mohegans,PER
booknlp,mdp.39015041788319,16,287,292,Uncas,PER
booknlp,mdp.39015041788319,16,324,340,Chief Miantonomo,PER
booknlp,mdp.39015041788319,16,398,408,Miantonomo,PER
booknlp,mdp.39015041788319,16,423,428,Uncas,PER
roberta,mdp.39015041788319,16,0,7,Mohegan,MISC
roberta,mdp.39015041788319,16,23,43,Gladys Tantaquidgeon,PER
roberta,mdp.39015041788319,16,97,105,Mohegans,MISC
roberta,mdp.39015041788319,16,110,123,Narragansetts,MISC
roberta,mdp.39015041788319,16,176,188,Narragansett,MISC
roberta,mdp.39015041788319,16,287,292,Uncas,PER
roberta,mdp.39015041788319,16,330,340,Miantonomo,PER
spacy-trf,mdp.39015041788319,16,0,7,Mohegan,NORP
spacy-trf,mdp.39015041788319,16,23,43,Gladys Tantaquidgeon,PERSON
spacy-trf,mdp.39015041788319,16,97,105,Mohegans,NORP
spacy-trf,mdp.39015041788319,16,110,123,Narragansetts,NORP
spacy-trf,mdp.39015041788319,16,162,169,Mohegan,NORP
spacy-trf,mdp.39015041788319,16,174,186,Narragansett,NORP
spacy-trf,mdp.39015041788319,16,232,240,Mohegans,NORP
spacy-trf,mdp.39015041788319,16,285,290,Uncas,PERSON
spacy-trf,mdp.39015041788319,16,328,338,Miantonomo,PERSON
spacy-trf,mdp.39015041788319,16,396,406,Miantonomo,PERSON
spacy-trf,mdp.39015041788319,16,421,426,Uncas,PERSON
stanford,mdp.39015041788319,17,119,131,Narragansett,ORGANIZATION
booknlp,mdp.39015041788319,17,115,131,the Narragansett,PER
roberta,mdp.39015041788319,17,70,77,Mohegan,MISC
roberta,mdp.39015041788319,17,119,131,Narragansett,MISC
spacy-trf,mdp.39015041788319,17,70,77,Mohegan,NORP
spacy-trf,mdp.39015041788319,17,119,131,Narragansett,NORP
stanford,mdp.39015041788319,18,71,82,New England,LOCATION
stanford,mdp.39015041788319,18,131,142,New England,LOCATION
stanford,mdp.39015041788319,18,368,379,King Philip,LOCATION
stanford,mdp.39015041788319,18,416,422,Native,ORGANIZATION
stanford,mdp.39015041788319,18,453,459,Europe,LOCATION
stanford,mdp.39015041788319,18,478,486,Mohegans,ORGANIZATION
stanford,mdp.39015041788319,18,593,605,Samson Occum,PERSON
stanford,mdp.39015041788319,18,700,716,Frances Jennings,PERSON
stanford,mdp.39015041788319,18,734,741,America,LOCATION
stanford,mdp.39015041788319,18,791,799,New York,LOCATION
stanford,mdp.39015041788319,18,801,813,W. W. Norton,PERSON
stanford,mdp.39015041788319,18,874,889,Harold Blodgett,PERSON
booknlp,mdp.39015041788319,18,0,12,King Phillip,PER
booknlp,mdp.39015041788319,18,71,82,New England,GPE
booknlp,mdp.39015041788319,18,227,239,the Mohegans,PER
booknlp,mdp.39015041788319,18,349,363,the Wampanoags,LOC
booknlp,mdp.39015041788319,18,368,379,King Philip,PER
booknlp,mdp.39015041788319,18,453,459,Europe,GPE
booknlp,mdp.39015041788319,18,478,486,Mohegans,PER
booknlp,mdp.39015041788319,18,593,599,Samson,PER
booknlp,mdp.39015041788319,18,625,637,Samson Occum,PER
booknlp,mdp.39015041788319,18,700,716,Frances Jennings,PER
booknlp,mdp.39015041788319,18,734,741,America,GPE
booknlp,mdp.39015041788319,18,791,799,New York,GPE
booknlp,mdp.39015041788319,18,801,813,W. W. Norton,PER
booknlp,mdp.39015041788319,18,874,889,Harold Blodgett,PER
roberta,mdp.39015041788319,18,0,12,King Phillip,PER
roberta,mdp.39015041788319,18,38,47,Wampanoag,MISC
roberta,mdp.39015041788319,18,55,64,Metacomet,PER
roberta,mdp.39015041788319,18,331,332,.,ORG
roberta,mdp.39015041788319,18,661,667,Indian,MISC
roberta,mdp.39015041788319,18,700,716,Frances Jennings,PER
roberta,mdp.39015041788319,18,718,741,The Invasion of America,MISC
roberta,mdp.39015041788319,18,743,750,Indians,MISC
roberta,mdp.39015041788319,18,773,789,Cant of Conquest,MISC
roberta,mdp.39015041788319,18,791,799,New York,LOC
roberta,mdp.39015041788319,18,801,830,"W. W. Norton and Company, Inc",ORG
roberta,mdp.39015041788319,18,874,889,Harold Blodgett,PER
spacy-trf,mdp.39015041788319,18,5,12,Phillip,PERSON
spacy-trf,mdp.39015041788319,18,38,47,Wampanoag,NORP
spacy-trf,mdp.39015041788319,18,55,64,Metacomet,PERSON
spacy-trf,mdp.39015041788319,18,71,82,New England,LOC
spacy-trf,mdp.39015041788319,18,83,89,Indian,NORP
spacy-trf,mdp.39015041788319,18,131,144,New England's,LOC
spacy-trf,mdp.39015041788319,18,145,152,Natives,NORP
spacy-trf,mdp.39015041788319,18,194,197,Non,NORP
spacy-trf,mdp.39015041788319,18,198,205,Indians,NORP
spacy-trf,mdp.39015041788319,18,209,220,New England,LOC
spacy-trf,mdp.39015041788319,18,231,239,Mohegans,NORP
spacy-trf,mdp.39015041788319,18,353,363,Wampanoags,NORP
spacy-trf,mdp.39015041788319,18,416,422,Native,NORP
spacy-trf,mdp.39015041788319,18,453,459,Europe,LOC
spacy-trf,mdp.39015041788319,18,478,486,Mohegans,NORP
spacy-trf,mdp.39015041788319,18,514,522,Mohegans,NORP
spacy-trf,mdp.39015041788319,18,532,544,Christianity,ORG
spacy-trf,mdp.39015041788319,18,593,605,Samson Occum,PERSON
spacy-trf,mdp.39015041788319,18,610,617,Mohegan,NORP
spacy-trf,mdp.39015041788319,18,625,637,Samson Occum,PERSON
spacy-trf,mdp.39015041788319,18,651,660,Christian,NORP
spacy-trf,mdp.39015041788319,18,661,667,Indian,NORP
spacy-trf,mdp.39015041788319,18,700,716,Frances Jennings,PERSON
spacy-trf,mdp.39015041788319,18,791,799,New York,GPE
spacy-trf,mdp.39015041788319,18,801,831,"W. W. Norton and Company, Inc.",ORG
spacy-trf,mdp.39015041788319,18,874,889,Harold Blodgett,PERSON
stanford,mdp.39015041788319,19,3,10,England,LOCATION
stanford,mdp.39015041788319,19,15,27,Samson Occum,ORGANIZATION
stanford,mdp.39015041788319,19,155,172,Earl of Dartmouth,ORGANIZATION
stanford,mdp.39015041788319,19,177,188,King George,ORGANIZATION
stanford,mdp.39015041788319,19,359,376,Dartmouth College,ORGANIZATION
stanford,mdp.39015041788319,19,378,398,Gladys Tantaquidgeon,PERSON
stanford,mdp.39015041788319,19,437,446,Dartmouth,LOCATION
stanford,mdp.39015041788319,19,459,467,Columbia,ORGANIZATION
stanford,mdp.39015041788319,19,469,480,Connecticut,LOCATION
stanford,mdp.39015041788319,19,538,559,Reverend Samson Occum,ORGANIZATION
stanford,mdp.39015041788319,19,580,585,Moore,PERSON
stanford,mdp.39015041788319,19,641,658,Dartmouth College,ORGANIZATION
stanford,mdp.39015041788319,19,677,685,Columbia,ORGANIZATION
stanford,mdp.39015041788319,19,692,704,Samson Occum,PERSON
stanford,mdp.39015041788319,19,726,733,Mohegan,LOCATION
stanford,mdp.39015041788319,19,780,796,Eleazor Wheelock,PERSON
stanford,mdp.39015041788319,19,816,824,Wheelock,PERSON
stanford,mdp.39015041788319,19,875,883,Wheelock,ORGANIZATION
stanford,mdp.39015041788319,19,923,930,England,LOCATION
stanford,mdp.39015041788319,19,941,950,Whittaker,PERSON
stanford,mdp.39015041788319,19,1046,1058,Samson Occum,PERSON
stanford,mdp.39015041788319,19,1067,1076,Whittaker,PERSON
stanford,mdp.39015041788319,19,1253,1260,Mohegan,ORGANIZATION
stanford,mdp.39015041788319,19,1310,1315,Mason,PERSON
stanford,mdp.39015041788319,19,1532,1537,Mason,PERSON
stanford,mdp.39015041788319,19,1678,1696,Connecticut Colony,ORGANIZATION
stanford,mdp.39015041788319,19,1886,1896,John Uncas,PERSON
stanford,mdp.39015041788319,19,1962,1975,Ben Uncas III,PERSON
stanford,mdp.39015041788319,19,2093,2099,Sachem,LOCATION
stanford,mdp.39015041788319,19,2107,2115,Blodgett,PERSON
booknlp,mdp.39015041788319,19,3,10,England,GPE
booknlp,mdp.39015041788319,19,163,172,Dartmouth,GPE
booknlp,mdp.39015041788319,19,177,188,King George,PER
booknlp,mdp.39015041788319,19,359,376,Dartmouth College,GPE
booknlp,mdp.39015041788319,19,378,398,Gladys Tantaquidgeon,PER
booknlp,mdp.39015041788319,19,359,368,Dartmouth,GPE
booknlp,mdp.39015041788319,19,459,467,Columbia,GPE
booknlp,mdp.39015041788319,19,469,480,Connecticut,GPE
booknlp,mdp.39015041788319,19,641,658,Dartmouth College,GPE
booknlp,mdp.39015041788319,19,521,528,Mohegan,GPE
booknlp,mdp.39015041788319,19,780,796,Eleazor Wheelock,PER
booknlp,mdp.39015041788319,19,788,796,Wheelock,PER
booknlp,mdp.39015041788319,19,816,824,Wheelock,PER
booknlp,mdp.39015041788319,19,923,930,England,GPE
booknlp,mdp.39015041788319,19,937,950,Mr. Whittaker,PER
booknlp,mdp.39015041788319,19,1046,1058,Samson Occum,PER
booknlp,mdp.39015041788319,19,1063,1076,Mr. Whittaker,PER
booknlp,mdp.39015041788319,19,1123,1140,Mason CASEBesides,PER
booknlp,mdp.39015041788319,19,1196,1201,Occum,PER
booknlp,mdp.39015041788319,19,1253,1260,Mohegan,PER
booknlp,mdp.39015041788319,19,1281,1292,the Mohegan,PER
booknlp,mdp.39015041788319,19,1411,1423,the Mohegans,PER
booknlp,mdp.39015041788319,19,1678,1696,Connecticut Colony,GPE
booknlp,mdp.39015041788319,19,1719,1724,Occum,PER
booknlp,mdp.39015041788319,19,1729,1741,the Mohegans,PER
booknlp,mdp.39015041788319,19,1755,1777,the Mohegan Sachemship,PER
booknlp,mdp.39015041788319,19,1886,1896,John Uncas,PER
booknlp,mdp.39015041788319,19,1962,1975,Ben Uncas III,PER
booknlp,mdp.39015041788319,19,2013,2035,the Mohegan Sachemship,PER
booknlp,mdp.39015041788319,19,2065,2073,Mohegans,PER
roberta,mdp.39015041788319,19,3,10,England,LOC
roberta,mdp.39015041788319,19,15,27,Samson Occum,PER
roberta,mdp.39015041788319,19,155,159,Earl,PER
roberta,mdp.39015041788319,19,163,172,Dartmouth,PER
roberta,mdp.39015041788319,19,177,188,King George,PER
roberta,mdp.39015041788319,19,321,331,Non-Indian,MISC
roberta,mdp.39015041788319,19,359,376,Dartmouth College,ORG
roberta,mdp.39015041788319,19,378,398,Gladys Tantaquidgeon,PER
roberta,mdp.39015041788319,19,416,422,Occums,PER
roberta,mdp.39015041788319,19,437,446,Dartmouth,ORG
roberta,mdp.39015041788319,19,459,467,Columbia,LOC
roberta,mdp.39015041788319,19,469,480,Connecticut,LOC
roberta,mdp.39015041788319,19,521,528,Mohegan,MISC
roberta,mdp.39015041788319,19,547,559,Samson Occum,PER
roberta,mdp.39015041788319,19,580,602,Moore's Charity School,ORG
roberta,mdp.39015041788319,19,611,617,School,ORG
roberta,mdp.39015041788319,19,641,658,Dartmouth College,ORG
roberta,mdp.39015041788319,19,677,685,Columbia,LOC
roberta,mdp.39015041788319,19,692,704,Samson Occum,PER
roberta,mdp.39015041788319,19,726,733,Mohegan,LOC
roberta,mdp.39015041788319,19,780,796,Eleazor Wheelock,PER
roberta,mdp.39015041788319,19,788,796,Wheelock,PER
roberta,mdp.39015041788319,19,923,930,England,LOC
roberta,mdp.39015041788319,19,941,950,Whittaker,PER
roberta,mdp.39015041788319,19,1002,1008,Indian,MISC
roberta,mdp.39015041788319,19,1046,1058,Samson Occum,PER
roberta,mdp.39015041788319,19,1067,1076,Whittaker,PER
roberta,mdp.39015041788319,19,1123,1128,Mason,PER
roberta,mdp.39015041788319,19,1181,1187,Indian,MISC
roberta,mdp.39015041788319,19,1196,1201,Occum,PER
roberta,mdp.39015041788319,19,1232,1242,Non-Indian,MISC
roberta,mdp.39015041788319,19,1253,1260,Mohegan,MISC
roberta,mdp.39015041788319,19,1310,1315,Mason,PER
roberta,mdp.39015041788319,19,1415,1423,Mohegans,MISC
roberta,mdp.39015041788319,19,1532,1537,Mason,PER
roberta,mdp.39015041788319,19,1678,1696,Connecticut Colony,ORG
roberta,mdp.39015041788319,19,1719,1724,Occum,PER
roberta,mdp.39015041788319,19,1733,1741,Mohegans,MISC
roberta,mdp.39015041788319,19,1759,1766,Mohegan,MISC
roberta,mdp.39015041788319,19,1886,1896,John Uncas,PER
roberta,mdp.39015041788319,19,1962,1975,Ben Uncas III,PER
roberta,mdp.39015041788319,19,2017,2024,Mohegan,MISC
roberta,mdp.39015041788319,19,2065,2073,Mohegans,MISC
roberta,mdp.39015041788319,19,2107,2115,Blodgett,PER
spacy-trf,mdp.39015041788319,19,3,10,England,GPE
spacy-trf,mdp.39015041788319,19,15,33,Samson Occum house,FAC
spacy-trf,mdp.39015041788319,19,163,172,Dartmouth,GPE
spacy-trf,mdp.39015041788319,19,182,188,George,PERSON
spacy-trf,mdp.39015041788319,19,321,331,Non-Indian,NORP
spacy-trf,mdp.39015041788319,19,359,376,Dartmouth College,ORG
spacy-trf,mdp.39015041788319,19,378,398,Gladys Tantaquidgeon,PERSON
spacy-trf,mdp.39015041788319,19,416,433,Occums'connection,PERSON
spacy-trf,mdp.39015041788319,19,437,446,Dartmouth,ORG
spacy-trf,mdp.39015041788319,19,459,467,Columbia,GPE
spacy-trf,mdp.39015041788319,19,469,480,Connecticut,GPE
spacy-trf,mdp.39015041788319,19,521,528,Mohegan,NORP
spacy-trf,mdp.39015041788319,19,547,559,Samson Occum,PERSON
spacy-trf,mdp.39015041788319,19,580,602,Moore's Charity School,ORG
spacy-trf,mdp.39015041788319,19,641,658,Dartmouth College,ORG
spacy-trf,mdp.39015041788319,19,677,685,Columbia,GPE
spacy-trf,mdp.39015041788319,19,692,704,Samson Occum,PERSON
spacy-trf,mdp.39015041788319,19,726,733,Mohegan,GPE
spacy-trf,mdp.39015041788319,19,780,796,Eleazor Wheelock,PERSON
spacy-trf,mdp.39015041788319,19,816,824,Wheelock,PERSON
spacy-trf,mdp.39015041788319,19,875,883,Wheelock,PERSON
spacy-trf,mdp.39015041788319,19,923,930,England,GPE
spacy-trf,mdp.39015041788319,19,941,950,Whittaker,PERSON
spacy-trf,mdp.39015041788319,19,1002,1008,Indian,NORP
spacy-trf,mdp.39015041788319,19,1046,1058,Samson Occum,PERSON
spacy-trf,mdp.39015041788319,19,1067,1076,Whittaker,PERSON
spacy-trf,mdp.39015041788319,19,1123,1128,Mason,PERSON
spacy-trf,mdp.39015041788319,19,1181,1187,Indian,NORP
spacy-trf,mdp.39015041788319,19,1196,1201,Occum,PERSON
spacy-trf,mdp.39015041788319,19,1232,1242,Non-Indian,NORP
spacy-trf,mdp.39015041788319,19,1253,1260,Mohegan,NORP
spacy-trf,mdp.39015041788319,19,1285,1292,Mohegan,NORP
spacy-trf,mdp.39015041788319,19,1310,1315,Mason,NORP
spacy-trf,mdp.39015041788319,19,1381,1386,Tribe,ORG
spacy-trf,mdp.39015041788319,19,1415,1423,Mohegans,NORP
spacy-trf,mdp.39015041788319,19,1532,1537,Mason,PERSON
spacy-trf,mdp.39015041788319,19,1578,1583,Tribe,ORG
spacy-trf,mdp.39015041788319,19,1674,1696,the Connecticut Colony,ORG
spacy-trf,mdp.39015041788319,19,1719,1724,Occum,PERSON
spacy-trf,mdp.39015041788319,19,1733,1741,Mohegans,NORP
spacy-trf,mdp.39015041788319,19,1886,1896,John Uncas,PERSON
spacy-trf,mdp.39015041788319,19,1939,1944,Tribe,ORG
spacy-trf,mdp.39015041788319,19,1962,1975,Ben Uncas III,PERSON
spacy-trf,mdp.39015041788319,19,2065,2073,Mohegans,NORP
spacy-trf,mdp.39015041788319,19,2093,2099,Sachem,NORP
stanford,mdp.39015041788319,20,76,80,John,PERSON
stanford,mdp.39015041788319,20,111,114,Ben,PERSON
stanford,mdp.39015041788319,20,140,150,Emma Baker,PERSON
stanford,mdp.39015041788319,20,164,169,Tribe,ORGANIZATION
stanford,mdp.39015041788319,20,183,193,John Uncas,PERSON
stanford,mdp.39015041788319,20,199,208,Ben Uncas,LOCATION
stanford,mdp.39015041788319,20,255,262,England,LOCATION
stanford,mdp.39015041788319,20,315,325,John Uncas,PERSON
stanford,mdp.39015041788319,20,381,390,Ben Uncas,LOCATION
stanford,mdp.39015041788319,20,462,471,Ben Uncas,PERSON
stanford,mdp.39015041788319,20,490,500,Government,ORGANIZATION
stanford,mdp.39015041788319,20,512,515,Ben,PERSON
stanford,mdp.39015041788319,20,560,565,Tribe,ORGANIZATION
stanford,mdp.39015041788319,20,587,597,John Uncas,PERSON
stanford,mdp.39015041788319,20,626,635,Ben Uncas,LOCATION
stanford,mdp.39015041788319,20,684,690,Isaiah,PERSON
stanford,mdp.39015041788319,20,737,749,Samson Occum,PERSON
stanford,mdp.39015041788319,20,836,848,Samson Occum,PERSON
stanford,mdp.39015041788319,20,955,971,Upstate New York,LOCATION
booknlp,mdp.39015041788319,20,76,80,John,PER
booknlp,mdp.39015041788319,20,111,114,Ben,PER
booknlp,mdp.39015041788319,20,140,150,Emma Baker,PER
booknlp,mdp.39015041788319,20,183,193,John Uncas,PER
booknlp,mdp.39015041788319,20,199,208,Ben Uncas,PER
booknlp,mdp.39015041788319,20,255,262,England,GPE
booknlp,mdp.39015041788319,20,286,296,Sachemship,PER
booknlp,mdp.39015041788319,20,311,325,old John Uncas,PER
booknlp,mdp.39015041788319,20,339,344,Uncas,PER
booknlp,mdp.39015041788319,20,381,390,Ben Uncas,PER
booknlp,mdp.39015041788319,20,395,401,Sachem,PER
booknlp,mdp.39015041788319,20,462,465,Ben,PER
booknlp,mdp.39015041788319,20,519,531,Chief Sachem,PER
booknlp,mdp.39015041788319,20,587,597,John Uncas,PER
booknlp,mdp.39015041788319,20,626,635,Ben Uncas,PER
booknlp,mdp.39015041788319,20,684,690,Isaiah,PER
