	htid	page_seq	pre_sent	ent_sent	post_sent
40	mdp.39015040730916	00000064	A music carried over bay and torch-lit window of those tiny shacks, speckled up and down the mountain's side.	And when they leave the discothèque, or enter, it will reach through distance, like the sounds of places you name, where you say to me you'll go: Hong Kong, New Zealand, Madagascar.	Foreign.
41	mdp.39015040730916	00000038	”	We had navigated that craft in flats leased out to us by Finders Keepers, and we'd toss, rising, falling, on high seas.	What salvage had you left tucked away upstairs in the closet?
42	mdp.39015040730916	00000024	Excusing myself from the table, I zigzag toward the lavatory and read graffiti on the stall.	"After conquering every letter of the alphabet in first grade, I attempted to practice on the wall of Miss Tisch's Art Room (while waiting for class) and was chastised for reproducing in strict print: “I hate Suzie Baum"" (my best friend)."	Also first documented lie.
43	mdp.39015040730916	00000025	We hover, admiring, in silence.	"He's Florentine, well-bred, and asks, instead, “How do you feel about ‘Maternity'?"""	I can't recall.
44	mdp.39015040730916	00000034	No one catches my eye, though stranger after stranger expectantly stares back.	I pass the Snack Bar where we halved a triangle of pizza.	Birds now pick.
45	mdp.39015040730916	00000053	a	Awake in Adam's arms, spooning in a one-room schoolhouse, I hear his friends, Sarah and Paul, just-married, testing each rung of ladder to their loft bed, and almost hear the creek, down hill, where we'd picnicked on pears, Chianti and Brie, until a garden snake's slippery escape caught us off guard.	Above the door of this Berkshire retreat a kite is tacked: a dragon painted on red.
46	mdp.39015040730916	00000046	I've been out for hours and soon the lifts will shut.	Stopping to clear fogged-up goggles at the Ski Patrol's hut, I meet three men plus River, their retriever, who sniffs out skiers sunk in avalanches.	I shed a layer, then two.
47	mdp.39015040730916	00000055	The all-women jury?	To my left, a divorcée, an expert on Management Stress, at right, a housewife (avowedly anti-Arab).	The victim, an Arab American, took the stand.
48	mdp.39015040730916	00000068	Why not stay home, instead, with me?	That Ur prince whisked you off past four.	At my leash-end, you're not misled by me.
49	mdp.39015040730916	00000056	The complainer began, “I don't have much time left because my husband expects me home.	I hate Arabs but I think the victim's telling the truth.	The lawyers are idiots.
50	mdp.39076001498182	00000107	Give it back to him, Mom.	"Batman needs his gun."""	She used to read to me when I was sick.
51	mdp.39076001498182	00000113	And, she says, she had seen my father too.	"""Dad?"	You saw Dad?
52	mdp.39076001498182	00000071	Some of the places I lived while I was growing up are only dim memories now, and they tend to run together and blur a little bit: the cabin in Lewiston, Idaho, where just Mom and I live.	It's winter (but it isn't very cold because in all of Idaho, Lewiston is the town with the lowest elevation), and I am very young.	I'm sure not five yet.
53	mdp.39076001498182	00000139	It was a happy flute, but subtle, too, and full of emotional intensity.	This was the first time I thought about connections to people who had come before, connections to the land-about ancestral roots that predated the white society that had superimposed itself onto North America.	And this was the first time I thought about my own posterity ... of the possibility of my own bloodline continuing down through the ages.
54	mdp.39076001498182	00000064	Except that they did live in California one year when I was born.	Then, when I am two (I don't remember this), my middle sister, who is fourteen years old at the time and a TB patient, has a relapse and goes into a sanitarium, Cushman Indian Hospital in Tacoma, Washington, just a few miles south of Seattle.	Then we live in Tacoma on and off for a number of years.
55	mdp.39076001498182	00000074	You have no destination in mind.	Finally you come to a town your mother takes a fancy to: Pocatello, Idaho, in southern Idaho, a region dominated by the Mormon church.	(And Mormons believe that all brown-skinned people, including American Indians, are brown because of a sin committed by one of their ancestors.
56	mdp.39076001498182	00000061	But I wasn't ashamed to wear my mother's coat to school (even though this was my first year of junior high).	One thing about Wapato was that it was (and is, for that matter) full of poor people.	I was just one poor, shabby kid among many.
57	mdp.39076001498182	00000088	IV a	When I grew up, I lived in California.	For a short time in '83 I I lived in beautiful Vancouver, British Columbia.
58	mdp.39076001498182	00000117	And I had a little baby boy.	Yet I still felt I was better off staying in San Francisco.	I didn't know what I was going to do, but I felt somehow that I had a better chance there.
59	mdp.39076001498182	00000089	I wanted to go home.	As the granddaughter of a Kootenay woman and the great-greatgranddaughter of a Kootenay chief, I had deep roots in British Columbia, deeper than any non-Indian person.	I loved Vancouver.
60	mdp.39076001498182	00000171	They're going to bring you all that way and dress you up in some stupid white man's suit and make a big deal out of the few cents they paid for it.	Many years later a professor of Northwest history who is also a Historical Society member will write a book in which she interviews an old man who was a nine-year-old boy in 1901 and saw you at the Pioneer Day celebration and she will quote him as saying you were ‘not well dressed at all in your cheap new white-man's suit ‘but rather unkempt and seedy-looking.'	And they're all going to shake their heads over your life, which they will regard as wasted, and they'll pity you and write about how you married a squaw (as though this were evidence of a wasted life, an illustration of how low you had sunk).”
61	mdp.39076001498182	00000165	Shortly thereafter a Grizzly Bear appeared to him in a vision and told him he was destined to become a great war chief and Grizzly himself, the fiercest, strongest, bravest one of all, would be his animal protector, would counsel him and ride into battle with him.	That was how Gram's grandfather became Chief Grizzly one fierce war chief—the most effective killer of Blood Indians that ever lived.	It appears as though Chief Grizzly converted to Catholicism in his later years.
62	mdp.39076001498182	00000159	Friends and neighbors gave my mother's grandmother a gold broach the night before they left.	It had a pair of manacled hands engraved on it symbolizing the oppression of the Irish people by the British government.	My grandfather must have been two or three when his mother snuck out of Ireland, snuck them all out, with the help of her brother-in-law.
63	mdp.39076001498182	00000158	a a	My grandfather Sullivan was the youngest child of a large family.	He was born in County Clare, Ireland, in about 1871.
64	mdp.39076001498182	00000164	He defeated Montgomery (who was killed in battle) and the soon-to-beinfamous General Benedict Arnold at the Battle of Quebec on the last day of 1775.	As a reward for saving Quebec-it had been a close battle, and Montreal had already fallenHis	Majesty rewarded Colonel Fraser with the seigneury at Mount Murray, Quebec.
65	mdp.39076001498182	00000170	"Himes advised David to buy a round-trip ticket since he could ""save a little"" that way."	A Mr. Ryan wrote a letter to Mr. Himes telling him, “By request of friends of David McLoughlin I accompanied him I to Spokane and took charge of the $16 you sent.	Of this I expended for him the following sums: Round-trip fare from Spokane to Portland, $5.10 (he probably had to travel by horse from his home to Spokane, a distance of some one hundred and twenty miles) and three meals, $1.05.
66	mdp.39076001498182	00000166	David had been, until then, a dutiful son ... but he truly had no desire for power as his father had had, no desire to head a dynasty.	David preferred the wilderness and the Native way of life.	(I've read his letters.
67	mdp.39076001498182	00000167	In 1879, when Gram was four years old, Carlisle Indian School, in Pennsylvania, opened its doors for the first time.	Carlisle was the first government-run boarding school, the first attempt to assimilate Indians, en masse, into mainstream society.	They rounded up students-to-be, not extremely young children but older ones and adolescents, from reservations all over the United States and brought them by freight train to Pennsylvania.
68	mdp.39076001498182	00000163	Great Britain wanted the Columbia River to be the dividing line.	This was why McLoughlin built Fort Vancouver on the north bank of the river.	This was where Canada was to begin (where the state of Washington actually begins).
69	mdp.39076001498182	00000176	That I could make myself acceptable enough.	A year after Angeline's job-hunting expedition to Portland, she married a hard-drinking Irish railroad man from New York City (or County Clare, depending on how you looked at it) and had seven children with skin as presentable as snow.	And every one of them married white, had white children.
70	mdp.39076001498182	00000162	We were all there on a family chart: Gram's ma and pa and all Gram's children, including Mom (and even Dad's name was there, as Mom's husband), my sisters ... and me.	In 1983 I applied for a sixty-day residency fellowship to go to the Center for the Study of the History of the American Indian at the Newberry Library in Chicago.	I wanted to study the fur-trade era in North America, the white-Indian marriages of that time, and the mixed-blood people, who were (and are) a legacy of the fur trade.
71	mdp.39076001498182	00000160	My grandfather went to work for Great Northern when he grew up.	Somewhere along the line, as he was laying tracks (no doubt in Kootenay country), he met an Indian girl named Angeline.	"She must have seemed a strange Indian girl, not at all ""shy"" as Indian girls were always said to be."
72	mdp.39076001498182	00000161	I was never interested in that book.	I didn't like my mother's interpretations of the McLoughlin family.	Their lives, I thought, had no relevance to my own.
73	mdp.39076001498182	00000175	So unpresentable they were unfit for any sort of employment ... save that of washerwomen.	So young Angeline McLoughlin returned to the Kootenay Valley, where she did not, at least fully, belong either.	Did she ever hate her Indianness?
74	mdp.39076001498182	00000149	I was about four at the time.	I sat on the floor beside her chair, coloring in my (probably Carmen Miranda) coloring book.	“Good Indians are clean and neat, hardworking and sober,” she said.
75	mdp.39076001498182	00000150	Her father (or her pa, as she called him) was the only surviving son of Dr. John and Margaret McLoughlin.	David McLoughlin, Gram's pa, had university and medical school in Paris, France (where his father's brother was then personal physician to the king of France).	And of course his father was the wealthiest, most powerful man in the whole Northwest Territory.
76	mdp.39076001498182	00000179	I went to Montana in May 1986 on a tour that began at the National Indian Youth Conference at the University of Montana in Missoula and took me to four Indian Colleges: SalishKootenay, Blackfeet, Rocky Boy and Fort Belknap.	I flew from Seattle to Missoula.	An employee of SK College, himself a Kootenay Indian, drove me from Missoula to the end of my tour in the eastern part of the state.
77	mdp.39076001498182	00000145	I never could understand how such men as John McLoughlin and James Douglas could endure the thought of having their name and honors descend to a degenerate posterity.	Surely they were of sufficient intelligence to know that by giving their children Indian mothers, their own Scotch, Irish, or English blood would be greatly debased.	. . .
78	mdp.39076001498182	00000147	Sure.	Mom's dad, Sullivan, of whom Mom was so fond.	My grandfather.
79	mdp.39076001498182	00000152	Then, most of the time, she fumed over them when we got home.	She just laughed about the guy with the Indian shuffle, though, imagining him running and shuffling at the same time in a way that was so distinctive, her sister could tell, even in the dark, that he was an Indian.	So my aunts smoked, drank, swore and were vulgar, not to mention racist.
80	mdp.39076001498182	00000146	McLoughlin Boulevard connects the two.	McLoughlin House is a magnificent, two-story woodframe house, a near-mansion.	It looks as though it came from the East, as though it could have belonged to a New England sea captain.
81	mdp.39076001498182	00000156	It fell nearly to her waist.	Gram Sullivan's hair was like black satin.	The looks of a full-blood.
82	mdp.39076001498182	00000181	Sure.	The government promised Chief Joseph of the Nez Percé he would be allowed to remain in his homeland, the beautiful, fertile Wallowa Valley in Oregon, but then the government took another look and changed its mind.	The Wallowa Valley was good land, too good to be Indian land.
83	mdp.39076001498182	00000180	From the beginning I longed to be home in Seattle.	I did not come to Montana to make a pilgrimage to the Bear Paw battleground, to close the circle.	I hadn't even realized, at first, that the place where the cavalry finally caught up with the Indians led by Chief Joseph was in Montana.
84	mdp.39076001498182	00000157	The time came to announce the homecoming queen (or whatever she was called).	"They called out the name: ""Maggie Sullivan."""	That was Mom!
85	mdp.39076001498182	00000169	The People of the Valley became poorer as time passed and their way of life, their traditional way, could not continue (not the way it had been in the days of Chief Grizzly).	Gram was aware of a world beyond the Kootenay Valley.	I wonder if she ever daydreamed of the life her father had had before (which he would not discuss with his family) . .
86	mdp.39076001498182	00000182	The army, led by General Howard, was relentless in its pursuit of Chief Joseph, but not good at keeping up with Indians.	For a while the 7th Cavalry, seeking revenge after once having been wiped out by Indians, joined in the chase, but the 7th Cavalry was easily shaken.	Four months after the flight began, the Indians stopped and made camp in the Little Bear Paw Mountains just thirty miles from the safety of the Canadian border, unaware that another division, commanded by General Sherman (of Civil War fame), approached from the east.
87	mdp.39076001498182	00000046	Catch your breath.	” Julia now has begun a novel, which is progressing well.	She hasn't had a drink in six months.
88	mdp.39076001498182	00000087	I knew what they said (though I've quite forgotten now).	The important thing was sending them out... out and out and out they went ... out into the world beyond (mailing them was sort of like rolling them up and putting them inside bottles and casting them out to sea)... all the way across the continent... to New York City.	The place where writers live and where books and magazines are published.
89	mdp.39076001498182	00000119	"“She had a hard life,"" my daughter says."	My daughter used to visit Mom every Sunday when she was in the nursing home in Spokane.	On Sundays my daughter fed my mother her meals, combed her fine, white hair, read to her.
90	mdp.39076001498182	00000131	"Get a job?"""	"""I can't, Derek.”"	"""Ain't no such word as can't.”"
91	mdp.39076001498182	00000082	A time or two she was gone a year from her own home.)	Once she said to me, when I was in my late twenties, that she and my father had settled in Wapato because of me.	And she hated it there ... had always hated it.
92	mdp.39076001498182	00000109	No blood ties.	Yakima Indian land.	Not home.
93	mdp.39076001498182	00000121	My niece, the one who lived with her and was her caretaker, goes with me to the cemetery.	The land in the Yakima Valley is flat and, compared to Idaho, arid.	This is a graveyard of strangers enclosed by a high, chain-link fence.
94	mdp.39076001498182	00000135	To Australia, I think.	Once, I applied to a program at the Youth Opportunity Center that was for unmarried mothers under the age of twenty-one who were on welfare and didn't have any job skills and were lacking a high school diploma.	The federally funded program ran for something like five or six months.
95	mdp.39076001498182	00000120	It takes me hours to write it.	I tell of her birth in Canada and that her mother was a Kootenay Indian and that Mom, through her mother, was descended from Dr. John McLoughlin, an important figure in Northwest history (Mom was so proud of being his descendant).	I tell that she was the daughter of an Irish railroad man and had grown up, therefore, in quite a few places in British Columbia and Washington State.
96	mdp.39076001498182	00000083	She loved the movie version of A Raisin in the Sun, and she saw the movie version of The Member of the Wedding twice.	To attend a professional production of a drama was one of her fondest desires (along with seeing Ireland one day).	She never got to do either.
97	mdp.39076001498182	00000068	Mom kicks me out for telling her she will burn in purgatory if she doesn't stop swearing.	She sends me to Christ the King Elementary Catholic School in Omak, even though I am the only Indian there.	I I hate Christ the King and the awful kids and awful nuns who grab me and pull me around.
98	mdp.39076001498182	00000056	Or maybe she was; I don't know.	If she knew English, I imagine she knew it only poorly.	What happened was she had a lover with whom she intended to run away.
99	mdp.39076001498182	00000057	a	Before the Catholic Mass a wake and traditional memorial service were held in the tribal community hall.	My half brother, my father's grey-haired son, was there.
100	mdp.39015041788319	00000048	ASHBOW ASHBOW BURIAL GROUND	This burial ground dates to the eighteenth century and contains burials of members of the Shantup, Ashbow, Burial Grounds Cutchegan, Uncas and Smith families.	It was originally known as the Cedar Swamp Burial Ground.
101	mdp.39015041788319	00000049	It was the center of our lives---because it was ours!	Gilly (Tribal Council member Ernest Gilman] learned to read there.	It was the center of our lives then just as it is today ...
102	mdp.39015041788319	00000039	Mohegan is not an alphabetic languages3.	Gladys Tantaquidgeon and Tribal Council Member Jayne Fawcett describe the Tribe's symbolic designs as follows:	(GENERAL MEANING-]
103	mdp.39015041788319	00000038	Many Mohegan trail designs reflect the path of the sun.	BLACKBlack is used in Mohegan art along with red to symbolize life and death, particularly on life-death masks, which are divided down the middle with the two colors.	Red ochre was used in ancient burials to reconnect the spirit of the deceased to the womb of Mother Earth.
104	mdp.39015041788319	00000017	But they concluded that he was a moigu, 'witch' (shaman).	At length a Mohegan who possessed power equal to that of the Narragansett appeared and ordered the others to desist.	Taking a bullet from his pouch he swallowed it.
105	mdp.39015041788319	00000016	Mohegan Medicine Woman Gladys Tantaquidgeon recalls the first of those two famous fights between Mohegans and Narragansetts as follows:  	The encounter between the Mohegan and Narragansett was back in about 1643, thereabouts .. . the Mohegans were outnumbered and ... being outnumbered, Uncas told his men that he would ask Chief Miantonomo that the two men fight with their clubs ‘man to man'.	If Miantonomo didn't agree, Uncas said he would fall on his face and his men would charge the enemy.
106	mdp.39015041788319	00000028	While Fidelia Fielding instilled fearful, xenophobic attitudes in her student, Medicine Woman Gladys Tantaquidgeon, those negative notions were countered by the optimism and worldliness of Gladys' other teacher, Emma Baker.	Emma lived from 1828 to 1916 and dominated the Mohegan cultural and political scene of the midnineteenth to early twentieth century.	She served as Tribal Chair, Sunday School Superintendent of Mohegan Church, and Coordinator of the Church Ladies' Sewing Society (which sponsored the Tribe's annual Wigwam festival).
107	mdp.39015041788319	00000015	THE FOLLOWING SCHOLARLY ACCOUNT WAS PROVIDED BY THE MASHANTUCKET PEQUOT TRIBAL NATION'S ARCHAEOLOGIST.	The Pequot War began in the fall of 1636 when an English military expedition under the command of John Endicott of Massachusetts Bay attacked and burned two Pequot villages along the Thames river.	Over the next six months the Pequots had the upper hand in the conflict, besieging Fort Saybrook at the mouth of the Connecticut river and cutting off all traffic upriver to the colonies of Wethersfield, Hartford and Windsor.
108	mdp.39015041788319	00000029	Then in 1934, she was hired by the Federal Government to administer new Indian educational privileges for northeast tribes under the WheelerHoward Act.	Gladys made perhaps her greatest contribution in 1931 when she joined her father John, and brother, Harold, in founding the Tantaquidgeon Indian Museum.	That institution was created for the display of Native artifacts and the teaching of Mohegan culture.
109	mdp.39015041788319	00000024	Mohegan land was then divided into fee simple parcels and taxed.	Tribespeople who remained at Mohegan during the late nineteenth and early twentieth century worked mainly in mills, the military, whaling, or in domestic service .	Trading Cove Rood Daniei Fisch is Hayer VOOX lo o TIPS Cooper House Asppoy I Preston Mills House Avery 203 seru House Cooper y govento Jon na John Cemetaryo Road to 10, Church ason VOD Jewett House Monegan Wohegan Starlund Occom Kouge Mick Brook inte T I fort HD Samil Rogers House Rood to JEWEll's Morwich to O Mohegan.
110	mdp.39015041788319	00000030	The museum was built by John and Harold at the height of the Great Depression.	John was blind in one eye and on crutches, but Tantaquidgeon Museum 1950, founded 1931 tribal elder Ruth Tantaquidgeon states that “he handled every one of the granite stones used in its construction.”	This museum endeavor was partly inspired by Chief Harold Tantaquidgeon's belief that educating the Non-Indian public was critical for the following reason:  It's harder to hate someone that you know a lot about.
111	mdp.39015041788319	00000018	King Phillip” was the nickname of the Wampanoag leader Metacomet.	That New England Indian conflict ended in 1676.	After that time, New England's Natives no longer constituted a viable threat to Non-Indians in New England.
112	mdp.39015041788319	00000019	In England, he Samson Occum house, built mid-eighteenth century and demolished 1887 accrued eleven thousand pounds from wealthy nobles and royals like the Earl of Dartmouth and King George around 1766.22	However, when he returned home that money was inappropriately diverted by white missionaries towards funding for the Non-Indian institution today known as Dartmouth College.	Gladys Tantaquidgeon briefly explains Occums'connection to Dartmouth as follows: Columbia, Connecticut ... was the site of the school that our Mohegan kin, the Reverend Samson Occum attended---that is, Moore's Charity School ... the School that eventually became Dartmouth College (started] here in Columbia.
113	mdp.39015041788319	00000031	Over the years, Gladys Tantaquidgeon contributed artifacts to the museum, obtained during her travels among tribes all over the country.	Another of her Mohegan contemporaries, Roland Harris, who served in the U.S. Government Indian service as director of a Navajo Indian school, contributed Native art to the museum.	Many other Mohegans, Native Americans, and Non-Indians have donated pieces to that institution as well.
114	mdp.39015041788319	00000025	"In 1774, tribal regent Zachary Johnson verified a tribal roster consisting of 14 ""male heads of households” (or 26 including female heads)."	By 1799, Mohegan numbers were diminished by Samson Occum's removal of Mohegan Indians to Oneida and the Revolutionary War.	Mohegan heads of households equalled 35; a grand total of 84 individuals.
115	mdp.39015041788319	00000027	Fidelia married William Fielding and together they raised three offspring of her relative Effie Cooper.45	Fidelia's grandmother, Martha Shantup Uncas (17611859), taught her to be the last fluent speaker of the MoheganPequot dialect.	Fidelia's grandfather, Gerdon Wyyougs was a Pequot.46  
